Price,Close,High,Low,Open,Volume
Ticker,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI
Date,,,,,
12/1/2014,4377.330078,4383.189941,4334.810059,4354.189941,95799400
12/2/2014,4388.299805,4422.77002,4373.029785,4396.75,101308700
12/3/2014,4391.859863,4405.830078,4378.879883,4384.040039,87190000
12/4/2014,4323.890137,4427.740234,4310.689941,4399.939941,144554000
12/5/2014,4419.47998,4422.850098,4359.319824,4366.220215,125876600
12/8/2014,4375.47998,4407.950195,4375.47998,4400.169922,77425600
12/9/2014,4263.939941,4342.120117,4260.069824,4332.72998,149779500
12/10/2014,4227.910156,4306.720215,4216.180176,4280.339844,116124400
12/11/2014,4225.859863,4249.120117,4196.529785,4225.330078,135257400
12/12/2014,4108.930176,4202.52002,4103.490234,4197.47998,135838300
12/15/2014,4005.379883,4144.310059,4000.800049,4094.459961,149438700
12/16/2014,4093.199951,4094.189941,3926.340088,4027.51001,248244700
12/17/2014,4111.910156,4131.810059,4035.300049,4052.22998,143182000
12/18/2014,4249.490234,4249.490234,4159.950195,4186.259766,214450700
12/19/2014,4241.649902,4291.200195,4202.069824,4282.390137,214972700
12/22/2014,4254.430176,4295.149902,4239.359863,4255.879883,86938900
12/23/2014,4314.970215,4314.970215,4259.209961,4264.540039,81670200
12/24/2014,4295.850098,4316.390137,4295.02002,4309.75,14317600
12/29/2014,4317.930176,4317.930176,4249.950195,4301.660156,74896000
12/30/2014,4245.540039,4296.02002,4245.540039,4293.899902,56575600
12/31/2014,4272.75,4275.580078,4255.330078,4256.169922,18497800
1/2/2015,4252.290039,4311,4224.339844,4294.049805,69809300
1/5/2015,4111.359863,4276.919922,4105.450195,4221.990234,137887700
1/6/2015,4083.5,4151.410156,4076.159912,4129.890137,130814400
1/7/2015,4112.72998,4144.950195,4080.780029,4111.72998,121316600
1/8/2015,4260.189941,4270.109863,4163.629883,4176.160156,154417100
1/9/2015,4179.069824,4272.830078,4149.140137,4249.259766,139011800
1/12/2015,4228.240234,4252.27002,4165.149902,4196.779785,129743900
1/13/2015,4290.279785,4310.580078,4197.810059,4204.77002,127789000
1/14/2015,4223.240234,4302.220215,4207.370117,4227.459961,151689400
1/15/2015,4323.200195,4338.72998,4119.350098,4262.939941,187411300
1/16/2015,4379.620117,4387.220215,4294.759766,4303.549805,174122800
1/19/2015,4394.930176,4423.25,4367.240234,4388.669922,107393400
1/20/2015,4446.02002,4463.509766,4405.939941,4406.959961,141375600
1/21/2015,4484.819824,4484.819824,4406.720215,4455.009766,160196600
1/22/2015,4552.799805,4569.549805,4462.169922,4486.759766,208073500
1/23/2015,4640.689941,4673.299805,4585.640137,4588.490234,222514400
1/26/2015,4675.129883,4678.830078,4616.609863,4620,127771700
1/27/2015,4624.209961,4679.259766,4592.620117,4671.759766,145807700
1/28/2015,4610.939941,4660.879883,4582.580078,4660.450195,130618600
1/29/2015,4631.430176,4632.379883,4571.049805,4571.049805,117222200
1/30/2015,4604.25,4660.709961,4583.680176,4655.950195,142104300
2/2/2015,4627.669922,4646.549805,4584.370117,4613.310059,123784000
2/3/2015,4677.899902,4701.52002,4645.149902,4651.069824,146301200
2/4/2015,4696.299805,4696.299805,4651.779785,4682.810059,130750800
2/5/2015,4703.299805,4705.100098,4647.850098,4654.560059,121316800
2/6/2015,4691.029785,4707.240234,4675.370117,4698.839844,154635000
2/9/2015,4651.080078,4659.259766,4611.149902,4652.160156,138917900
2/10/2015,4695.649902,4716.490234,4636.080078,4663.459961,127662600
2/11/2015,4679.379883,4694.439941,4659.459961,4687.870117,94464200
2/12/2015,4726.200195,4746.75,4664.029785,4670.080078,159105400
2/13/2015,4759.359863,4779.540039,4741.200195,4748.040039,161376000
2/16/2015,4751.950195,4766.470215,4747.220215,4757.52002,99362700
2/17/2015,4753.990234,4766.669922,4683.189941,4720.930176,109444600
2/18/2015,4799.029785,4806.680176,4775.870117,4782.589844,140858300
2/19/2015,4833.279785,4841.689941,4770.169922,4788.399902,128577800
2/20/2015,4830.899902,4837.930176,4780.810059,4821.379883,140055500
2/23/2015,4862.299805,4875.970215,4832.359863,4872.129883,102128000
2/24/2015,4886.439941,4899.52002,4843.959961,4865.680176,106329800
2/25/2015,4882.220215,4894.600098,4863.220215,4885,117214700
2/26/2015,4910.620117,4910.620117,4877.240234,4884.890137,105228900
2/27/2015,4951.47998,4951.47998,4903.089844,4905.77002,120717900
3/2/2015,4917.319824,4950.589844,4900.109863,4937.430176,149942900
3/3/2015,4869.25,4936.470215,4863.919922,4922.430176,116619800
3/4/2015,4917.350098,4917.350098,4856.140137,4882.939941,117022000
3/5/2015,4963.509766,4974.640137,4926.089844,4929.040039,108151700
3/6/2015,4964.350098,4986.879883,4949.879883,4953.680176,134221500
3/9/2015,4937.200195,4950.419922,4917.459961,4940.640137,119543200
3/10/2015,4881.950195,4941.379883,4869.450195,4930.060059,132780600
3/11/2015,4997.75,5003.580078,4900.330078,4900.370117,144167500
3/12/2015,4987.330078,5000.939941,4981.279785,4990.959961,112062500
3/13/2015,5010.459961,5010.799805,4969.470215,4997.939941,105602100
3/16/2015,5061.160156,5071.680176,5019.02002,5019.02002,109124000
3/17/2015,5028.930176,5074.830078,5006.930176,5065.620117,132932500
3/18/2015,5033.419922,5041.319824,5001.370117,5032.180176,127395500
3/19/2015,5037.180176,5059.680176,5006.819824,5029.970215,122169000
3/20/2015,5087.490234,5106.040039,5036.27002,5044.419922,185669400
3/23/2015,5054.52002,5078.25,5036.22998,5078.25,112901000
3/24/2015,5088.279785,5103.299805,5032.779785,5040.859863,130680800
3/25/2015,5020.990234,5087.299805,5012.870117,5073.279785,124717600
3/26/2015,5006.350098,5006.350098,4932.529785,4992.549805,161978600
3/27/2015,5034.060059,5048.370117,5003.310059,5020.089844,142337500
3/30/2015,5083.52002,5097.589844,5045.359863,5052.25,112697900
3/31/2015,5033.640137,5098.859863,5028.379883,5073.990234,126492200
4/1/2015,5062.220215,5110.790039,5007.680176,5009.629883,121105100
4/2/2015,5074.140137,5080.529785,5059.419922,5068.060059,77337100
4/7/2015,5151.189941,5166.77002,5096,5106.359863,111763000
4/8/2015,5136.859863,5168.029785,5128.180176,5146.779785,95958600
4/9/2015,5208.950195,5208.950195,5154.600098,5156.160156,100086000
4/10/2015,5240.459961,5240.649902,5210.609863,5224.220215,120562700
4/13/2015,5254.120117,5262.740234,5222.399902,5236.109863,116785400
4/14/2015,5218.060059,5260.779785,5192.890137,5252.47998,262666600
4/15/2015,5254.350098,5269.5,5217.040039,5230.97998,259448500
4/16/2015,5224.490234,5255.240234,5214.939941,5246.75,164371600
4/17/2015,5143.259766,5238.910156,5132.709961,5214.330078,188551300
4/20/2015,5187.589844,5187.589844,5151.120117,5154.910156,116468000
4/21/2015,5192.640137,5243.569824,5172.759766,5205.100098,139757100
4/22/2015,5211.089844,5225.859863,5146.27002,5210.700195,126766700
4/23/2015,5178.910156,5226.169922,5146.680176,5217.080078,128135000
4/24/2015,5201.450195,5225.390137,5166.810059,5202.629883,132942200
